Platform,Total_Sales,Market_Share
2600,97.08,0.010882871248503439
3DO,0.1,1.1210209361870045e-05
3DS,247.46,0.027740784086883612
DC,15.97,0.001790270435090646
DS,822.49,0.09220285098044492
GB,255.45000000000002,0.028636479814897028
GBA,318.5,0.03570451681755609
GC,199.36,0.02234867338382412
GEN,28.36,0.0031792153750263446
GG,0.04,4.484083744748018e-06
N64,218.88,0.02453690625126115
NES,251.07,0.028145472644847118
NG,1.44,0.00016142701481092862
PC,258.82,0.02901426387039205
PCFX,0.03,3.363062808561013e-06
PS,730.66,0.08190851572343966
PS2,1255.64,0.14075987283138502
PS3,957.84,0.10737586935173603
PS4,278.1,0.031175592235360594
PSP,296.28000000000003,0.03321360829734857
PSV,61.93,0.006942482657806118
SAT,33.59,0.0037655093246521483
SCD,1.87,0.00020963091506696983
SNES,200.05,0.022426023828421023
TG16,0.16,1.793633497899207e-05
WS,1.42,0.0001591849729385546
Wii,926.71,0.10388613117738589
WiiU,81.86,0.009176677383626817
X360,979.96,0.10985556766258169
XB,258.26,0.028951486697965573
XOne,141.06,0.015813121325853885
